# Derived from CSV data at  http://golang.org/x/arch/x86
| Instruction                             | OpCode                            | Valid32BitOp | Valid64BitOp | CPUID                  | Info                              | ReadWriteActions | OperandSizeDistinguished | OpBitSize |
| PMADDUBSW mm1, mm2/m64                  | 0F 38 04 /r                       | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PMADDUBSW xmm1, xmm2/m128               | 66 0F 38 04 /r                    | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PMADDWD mm1, mm2/m64                    | 0F F5 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PMADDWD xmm1, xmm2/m128                 | 66 0F F5 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMAXSB xmm1, xmm2/m128                  | 66 0F 38 3C /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMAXSD xmm1, xmm2/m128                  | 66 0F 38 3D /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMAXSW mm1, mm2/m64                     | 0F EE /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| PMAXSW xmm1, xmm2/m128                  | 66 0F EE /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMAXUB mm1, mm2/m64                     | 0F DE /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| PMAXUB xmm1, xmm2/m128                  | 66 0F DE /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMAXUD xmm1, xmm2/m128                  | 66 0F 38 3F /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMAXUW xmm1, xmm2/m128                  | 66 0F 38 3E /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMINSB xmm1, xmm2/m128                  | 66 0F 38 38 /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMINSD xmm1, xmm2/m128                  | 66 0F 38 39 /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMINSW mm1, mm2/m64                     | 0F EA /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| PMINSW xmm1, xmm2/m128                  | 66 0F EA /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMINUB mm1, mm2/m64                     | 0F DA /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| PMINUB xmm1, xmm2/m128                  | 66 0F DA /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMINUD xmm1, xmm2/m128                  | 66 0F 38 3B /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMINUW xmm1, xmm2/m128                  | 66 0F 38 3A /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMOVMSKB r32, mm2                       | 0F D7 /r                          | V            | V            | SSE                    |                                   | w,r              |                          |           |
| PMOVMSKB r32, xmm2                      | 66 0F D7 /r                       | V            | V            | SSE2                   | modrm_regonly                     | w,r              |                          |           |
| PMOVSXBD xmm1, xmm2/m32                 | 66 0F 38 21 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVSXBQ xmm1, xmm2/m16                 | 66 0F 38 22 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVSXBW xmm1, xmm2/m64                 | 66 0F 38 20 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVSXDQ xmm1, xmm2/m64                 | 66 0F 38 25 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVSXWD xmm1, xmm2/m64                 | 66 0F 38 23 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVSXWQ xmm1, xmm2/m32                 | 66 0F 38 24 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVZXBD xmm1, xmm2/m32                 | 66 0F 38 31 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVZXBQ xmm1, xmm2/m16                 | 66 0F 38 32 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVZXBW xmm1, xmm2/m64                 | 66 0F 38 30 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVZXDQ xmm1, xmm2/m64                 | 66 0F 38 35 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVZXWD xmm1, xmm2/m64                 | 66 0F 38 33 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMOVZXWQ xmm1, xmm2/m32                 | 66 0F 38 34 /r                    | V            | V            | SSE4_1                 |                                   | w,r              |                          |           |
| PMULDQ xmm1, xmm2/m128                  | 66 0F 38 28 /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMULHRSW mm1, mm2/m64                   | 0F 38 0B /r                       | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PMULHRSW xmm1, xmm2/m128                | 66 0F 38 0B /r                    | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PMULHUW mm1, mm2/m64                    | 0F E4 /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| PMULHUW xmm1, xmm2/m128                 | 66 0F E4 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMULHW mm1, mm2/m64                     | 0F E5 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PMULHW xmm1, xmm2/m128                  | 66 0F E5 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMULLD xmm1, xmm2/m128                  | 66 0F 38 40 /r                    | V            | V            | SSE4_1                 |                                   | rw,r             |                          |           |
| PMULLW mm1, mm2/m64                     | 0F D5 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PMULLW xmm1, xmm2/m128                  | 66 0F D5 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMULUDQ mm1, mm2/m64                    | 0F F4 /r                          | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PMULUDQ xmm1, xmm2/m128                 | 66 0F F4 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| POP DS                                  | 1F                                | V            | I            |                        |                                   | w                | Y                        |           |
| POP ES                                  | 7                                 | V            | I            |                        |                                   | w                | Y                        |           |
| POP FS                                  | 0F A1                             | V            | N.E.         |                        | operand32                         | w                | Y                        |           |
| POP FS                                  | 0F A1                             | V            | V            |                        | operand16                         | w                | Y                        |           |
| POP FS                                  | 0F A1                             | N.E.         | V            |                        | operand32,operand64               | w                | Y                        |           |
| POP GS                                  | 0F A9                             | V            | N.E.         |                        | operand32                         | w                | Y                        |           |
| POP GS                                  | 0F A9                             | V            | V            |                        | operand16                         | w                | Y                        |           |
| POP GS                                  | 0F A9                             | N.E.         | V            |                        | operand32,operand64               | w                | Y                        |           |
| POP SS                                  | 17                                | V            | I            |                        |                                   | w                | Y                        |           |
| POP r/m16                               | 8F /0                             | V            | V            |                        | operand16                         | w                | Y                        | 16        |
| POP r/m32                               | 8F /0                             | V            | N.E.         |                        | operand32                         | w                | Y                        | 32        |
| POP r/m64                               | 8F /0                             | N.E.         | V            |                        | operand32,operand64               | w                | Y                        | 64        |
| POP r16op                               | 58+rw                             | V            | V            |                        | operand16                         | w                | Y                        | 16        |
| POP r32op                               | 58+rd                             | V            | N.E.         |                        | operand32                         | w                | Y                        | 32        |
| POP r64op                               | 58+rd                             | N.E.         | V            |                        | operand32,operand64               | w                | Y                        | 64        |
| POPA                                    | 61                                | V            | I            |                        | operand16                         |                  |                          |           |
| POPAD                                   | 61                                | V            | I            |                        | operand32                         |                  |                          |           |
| POPCNT r16, r/m16                       | F3 0F B8 /r                       | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| POPCNT r32, r/m32                       | F3 0F B8 /r                       | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| POPCNT r64, r/m64                       | F3 REX.W 0F B8 /r                 | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| POPF                                    | 9D                                | V            | V            |                        | operand16                         |                  |                          |           |
| POPFD                                   | 9D                                | V            | N.E.         |                        | operand32                         |                  |                          |           |
| POPFQ                                   | 9D                                | N.E.         | V            |                        | operand32,operand64               |                  |                          |           |
| POR mm1, mm2/m64                        | 0F EB /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| POR xmm1, xmm2/m128                     | 66 0F EB /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PREFETCHNTA m8                          | 0F 18 /0                          | V            | V            |                        | modrm_memonly                     | r                |                          |           |
| PREFETCHT0 m8                           | 0F 18 /1                          | V            | V            |                        | modrm_memonly                     | r                |                          |           |
| PREFETCHT1 m8                           | 0F 18 /2                          | V            | V            |                        | modrm_memonly                     | r                |                          |           |
| PREFETCHT2 m8                           | 0F 18 /3                          | V            | V            |                        | modrm_memonly                     | r                |                          |           |
| PREFETCHW m8                            | 0F 0D /1                          | V            | V            | PRFCHW                 | modrm_memonly                     | r                |                          |           |
| PREFETCHWT1 m8                          | 0F 0D /2                          | V            | V            | PREFETCHWT1            | modrm_memonly                     | r                |                          |           |
| PSADBW mm1, mm2/m64                     | 0F F6 /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| PSADBW xmm1, xmm2/m128                  | 66 0F F6 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSHUFB mm1, mm2/m64                     | 0F 38 00 /r                       | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSHUFB xmm1, xmm2/m128                  | 66 0F 38 00 /r                    | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSHUFD xmm1, xmm2/m128, imm8            | 66 0F 70 /r ib                    | V            | V            | SSE2                   |                                   | w,r,r            |                          |           |
| PSHUFHW xmm1, xmm2/m128, imm8           | F3 0F 70 /r ib                    | V            | V            | SSE2                   |                                   | w,r,r            |                          |           |
| PSHUFLW xmm1, xmm2/m128, imm8           | F2 0F 70 /r ib                    | V            | V            | SSE2                   |                                   | w,r,r            |                          |           |
| PSHUFW mm1, mm2/m64, imm8               | 0F 70 /r ib                       | V            | V            |                        |                                   | w,r,r            |                          |           |
| PSIGNB mm1, mm2/m64                     | 0F 38 08 /r                       | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSIGNB xmm1, xmm2/m128                  | 66 0F 38 08 /r                    | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSIGND mm1, mm2/m64                     | 0F 38 0A /r                       | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSIGND xmm1, xmm2/m128                  | 66 0F 38 0A /r                    | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSIGNW mm1, mm2/m64                     | 0F 38 09 /r                       | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSIGNW xmm1, xmm2/m128                  | 66 0F 38 09 /r                    | V            | V            | SSSE3                  |                                   | rw,r             |                          |           |
| PSLLD mm1, mm2/m64                      | 0F F2 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSLLD mm2, imm8                         | 0F 72 /6 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSLLD xmm1, xmm2/m128                   | 66 0F F2 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSLLD xmm2, imm8                        | 66 0F 72 /6 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSLLDQ xmm2, imm8                       | 66 0F 73 /7 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSLLQ mm1, mm2/m64                      | 0F F3 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSLLQ mm2, imm8                         | 0F 73 /6 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSLLQ xmm1, xmm2/m128                   | 66 0F F3 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSLLQ xmm2, imm8                        | 66 0F 73 /6 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSLLW mm1, mm2/m64                      | 0F F1 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSLLW mm2, imm8                         | 0F 71 /6 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSLLW xmm1, xmm2/m128                   | 66 0F F1 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSLLW xmm2, imm8                        | 66 0F 71 /6 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSRAD mm1, mm2/m64                      | 0F E2 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRAD mm2, imm8                         | 0F 72 /4 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRAD xmm1, xmm2/m128                   | 66 0F E2 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSRAD xmm2, imm8                        | 66 0F 72 /4 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSRAW mm1, mm2/m64                      | 0F E1 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRAW mm2, imm8                         | 0F 71 /4 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRAW xmm1, xmm2/m128                   | 66 0F E1 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSRAW xmm2, imm8                        | 66 0F 71 /4 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSRLD mm1, mm2/m64                      | 0F D2 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRLD mm2, imm8                         | 0F 72 /2 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRLD xmm1, xmm2/m128                   | 66 0F D2 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSRLD xmm2, imm8                        | 66 0F 72 /2 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSRLDQ xmm2, imm8                       | 66 0F 73 /3 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSRLQ mm1, mm2/m64                      | 0F D3 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRLQ mm2, imm8                         | 0F 73 /2 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRLQ xmm1, xmm2/m128                   | 66 0F D3 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSRLQ xmm2, imm8                        | 66 0F 73 /2 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSRLW mm1, mm2/m64                      | 0F D1 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRLW mm2, imm8                         | 0F 71 /2 ib                       | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSRLW xmm1, xmm2/m128                   | 66 0F D1 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSRLW xmm2, imm8                        | 66 0F 71 /2 ib                    | V            | V            | SSE2                   | modrm_regonly                     | rw,r             |                          |           |
| PSUBB mm1, mm2/m64                      | 0F F8 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSUBB xmm1, xmm2/m128                   | 66 0F F8 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBD mm1, mm2/m64                      | 0F FA /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSUBD xmm1, xmm2/m128                   | 66 0F FA /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBQ mm1, mm2/m64                      | 0F FB /r                          | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBQ xmm1, xmm2/m128                   | 66 0F FB /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBSB mm1, mm2/m64                     | 0F E8 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSUBSB xmm1, xmm2/m128                  | 66 0F E8 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBSW mm1, mm2/m64                     | 0F E9 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSUBSW xmm1, xmm2/m128                  | 66 0F E9 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBUSB mm1, mm2/m64                    | 0F D8 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSUBUSB xmm1, xmm2/m128                 | 66 0F D8 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBUSW mm1, mm2/m64                    | 0F D9 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSUBUSW xmm1, xmm2/m128                 | 66 0F D9 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PSUBW mm1, mm2/m64                      | 0F F9 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PSUBW xmm1, xmm2/m128                   | 66 0F F9 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PTEST xmm1, xmm2/m128                   | 66 0F 38 17 /r                    | V            | V            | SSE4_1                 |                                   | r,r              |                          |           |
| PUNPCKHBW mm1, mm2/m64                  | 0F 68 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PUNPCKHBW xmm1, xmm2/m128               | 66 0F 68 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUNPCKHDQ mm1, mm2/m64                  | 0F 6A /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PUNPCKHDQ xmm1, xmm2/m128               | 66 0F 6A /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUNPCKHQDQ xmm1, xmm2/m128              | 66 0F 6D /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUNPCKHWD mm1, mm2/m64                  | 0F 69 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PUNPCKHWD xmm1, xmm2/m128               | 66 0F 69 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUNPCKLBW mm1, mm2/m32                  | 0F 60 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PUNPCKLBW xmm1, xmm2/m128               | 66 0F 60 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUNPCKLDQ mm1, mm2/m32                  | 0F 62 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PUNPCKLDQ xmm1, xmm2/m128               | 66 0F 62 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUNPCKLQDQ xmm1, xmm2/m128              | 66 0F 6C /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUNPCKLWD mm1, mm2/m32                  | 0F 61 /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PUNPCKLWD xmm1, xmm2/m128               | 66 0F 61 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| PUSH CS                                 | 0E                                | V            | I            |                        |                                   | r                | Y                        |           |
| PUSH DS                                 | 1E                                | V            | I            |                        |                                   | r                | Y                        |           |
| PUSH ES                                 | 6                                 | V            | I            |                        |                                   | r                | Y                        |           |
| PUSH FS                                 | 0F A0                             | V            | V            |                        |                                   | r                | Y                        |           |
| PUSH GS                                 | 0F A8                             | V            | V            |                        |                                   | r                | Y                        |           |
| PUSH SS                                 | 16                                | V            | I            |                        |                                   | r                | Y                        |           |
| PUSH imm16                              | 68 iw                             | V            | V            |                        | operand16                         | r                | Y                        |           |
| PUSH imm32                              | 68 id                             | V            | V            |                        | operand32                         | r                | Y                        |           |
| PUSH imm8                               | 6A ib                             | V            | V            |                        |                                   | r                | Y                        |           |
| PUSH r/m16                              | FF /6                             | V            | V            |                        | operand16                         | r                | Y                        | 16        |
| PUSH r/m32                              | FF /6                             | V            | N.E.         |                        | operand32                         | r                | Y                        | 32        |
| PUSH r/m64                              | FF /6                             | N.E.         | V            |                        | operand32,operand64               | r                | Y                        | 64        |
| PUSH r16op                              | 50+rw                             | V            | V            |                        | operand16                         | r                | Y                        | 16        |
| PUSH r32op                              | 50+rd                             | V            | N.E.         |                        | operand32                         | r                | Y                        | 32        |
| PUSH r64op                              | 50+rd                             | N.E.         | V            |                        | operand32,operand64               | r                | Y                        | 64        |
| PUSHA                                   | 60                                | V            | I            |                        | operand16                         |                  |                          |           |
| PUSHAD                                  | 60                                | V            | I            |                        | operand32                         |                  |                          |           |
| PUSHF                                   | 9C                                | V            | V            |                        | operand16                         |                  |                          |           |
| PUSHFD                                  | 9C                                | V            | N.E.         |                        | operand32                         |                  |                          |           |
| PUSHFQ                                  | 9C                                | N.E.         | V            |                        | operand32,operand64               |                  |                          |           |
| PXOR mm1, mm2/m64                       | 0F EF /r                          | V            | V            | MMX                    |                                   | rw,r             |                          |           |
| PXOR xmm1, xmm2/m128                    | 66 0F EF /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| RCL r/m16, 1                            | D1 /2                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| RCL r/m16, CL                           | D3 /2                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| RCL r/m16, imm8                         | C1 /2 ib                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| RCL r/m32, 1                            | D1 /2                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| RCL r/m32, CL                           | D3 /2                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| RCL r/m32, imm8                         | C1 /2 ib                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| RCL r/m64, 1                            | REX.W D1 /2                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| RCL r/m64, CL                           | REX.W D3 /2                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| RCL r/m64, imm8                         | REX.W C1 /2 ib                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| RCL r/m8, 1                             | D0 /2                             | V            | V            |                        |                                   | w,r              | Y                        | 8         |
| RCL r/m8, 1                             | REX D0 /2                         | N.E.         | V            |                        | pseudo64                          | w,r              | Y                        | 8         |
| RCL r/m8, CL                            | D2 /2                             | V            | V            |                        |                                   | w,r              | Y                        | 8         |
| RCL r/m8, CL                            | REX D2 /2                         | N.E.         | V            |                        | pseudo64                          | w,r              | Y                        | 8         |
| RCL r/m8, imm8                          | C0 /2 ib                          | V            | V            |                        |                                   | w,r              | Y                        | 8         |
| RCL r/m8, imm8                          | REX C0 /2 ib                      | N.E.         | V            |                        | pseudo64                          | w,r              | Y                        | 8         |
| RCPPS xmm1, xmm2/m128                   | 0F 53 /r                          | V            | V            | SSE                    |                                   | w,r              |                          |           |
| RCPSS xmm1, xmm2/m32                    | F3 0F 53 /r                       | V            | V            | SSE                    |                                   | w,r              |                          |           |
| RCR r/m16, 1                            | D1 /3                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| RCR r/m16, CL                           | D3 /3                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
